X,Y,Zexp
0,1.875,0.042
0,1.88541,0.043
0,1.89582,0.043
0,1.90623,0.043
0,1.91664,0.043
0,1.92705,0.042
0,1.93746,0.038
0,1.94787,0.034
0,1.95828,0.03
0,1.96869,0.026
0,1.9791,0.024
0,1.98951,0.022
0,1.99992,0.019
0,2.01033,0.017
0,2.02074,0.015
0,2.03115,0.012
0,2.04156,0.011
0,2.05197,0.014
0,2.06238,0.018
0,2.07279,0.025
0,2.0832,0.03
0,2.09361,0.036
0,2.10402,0.038
0,2.11443,0.044
0,2.125,0.051
0.1,1.75,0.048
0.1,1.763157902,0.048
0.1,1.776315804,0.048
0.1,1.789473706,0.048
0.1,1.802631609,0.05
0.1,1.815789511,0.053
0.1,1.828947413,0.054
0.1,1.842105315,0.054
0.1,1.855263217,0.054
0.1,1.868421119,0.051
0.1,1.881579021,0.049
0.1,1.894736923,0.048
0.1,1.907894826,0.049
0.1,1.921052728,0.048
0.1,1.93421063,0.048
0.1,1.947368532,0.052
0.1,1.960526434,0.054
0.1,1.973684336,0.051
0.1,1.986842238,0.05
0.1,2.000000141,0.048
0.1,2.013158043,0.046
0.1,2.026315945,0.045
0.1,2.039473847,0.045
0.1,2.052631749,0.044
0.1,2.065789651,0.043
0.1,2.078947553,0.044
0.1,2.092105455,0.048
0.1,2.105263358,0.052
0.1,2.11842126,0.056
0.1,2.131579162,0.062
0.1,2.144737064,0.068
0.1,2.157894966,0.07
0.1,2.171052868,0.071
0.1,2.18421077,0.065
0.1,2.197368673,0.058
0.1,2.210526575,0.053
0.1,2.223684477,0.045
0.1,2.236842379,0.039
0.1,2.25,0.037
0.2,1.625000016,0.038
0.2,1.636904777,0.039
0.2,1.648809538,0.038
0.2,1.6607143,0.039
0.2,1.672619061,0.039
0.2,1.684523823,0.038
0.2,1.696428584,0.039
0.2,1.708333345,0.038
0.2,1.720238107,0.038
0.2,1.732142868,0.039
0.2,1.74404763,0.039
0.2,1.755952391,0.038
0.2,1.767857153,0.04
0.2,1.779761914,0.043
0.2,1.791666675,0.044
0.2,1.803571437,0.048
0.2,1.815476198,0.052
0.2,1.82738096,0.049
0.2,1.839285721,0.045
0.2,1.851190482,0.043
0.2,1.863095244,0.042
0.2,1.875000005,0.044
0.2,1.886904767,0.048
0.2,1.898809528,0.052
0.2,1.910714289,0.057
0.2,1.922619051,0.06
0.2,1.934523812,0.065
0.2,1.946428574,0.069
0.2,1.958333335,0.073
0.2,1.970238096,0.072
0.2,1.982142858,0.072
0.2,1.994047619,0.072
0.2,2.005952381,0.074
0.2,2.017857142,0.076
0.2,2.029761904,0.076
0.2,2.041666665,0.074
0.2,2.053571426,0.074
0.2,2.065476188,0.074
0.2,2.077380949,0.065
0.2,2.089285711,0.056
0.2,2.101190472,0.051
0.2,2.113095233,0.042
0.2,2.124999995,0.034
0.2,2.136904756,0.028
0.2,2.148809518,0.028
0.2,2.160714279,0.029
0.2,2.17261904,0.03
0.2,2.184523802,0.03
0.2,2.196428563,0.03
0.2,2.208333325,0.029
0.2,2.220238086,0.031
0.2,2.232142847,0.034
0.2,2.244047609,0.037
0.2,2.25595237,0.041
0.2,2.267857132,0.043
0.2,2.279761893,0.044
0.2,2.291666655,0.043
0.2,2.303571416,0.043
0.2,2.315476177,0.045
0.2,2.327380939,0.045
0.2,2.3392857,0.045
0.2,2.351190462,0.042
0.2,2.363095223,0.041
0.2,2.375,0.042
0.3,1.5,0.038
0.3,1.510989034,0.038
0.3,1.521978068,0.038
0.3,1.532967102,0.039
0.3,1.543956136,0.039
0.3,1.554945169,0.039
0.3,1.565934203,0.039
0.3,1.576923237,0.039
0.3,1.587912271,0.039
0.3,1.598901305,0.039
0.3,1.609890339,0.039
0.3,1.620879373,0.039
0.3,1.631868407,0.04
0.3,1.642857441,0.039
0.3,1.653846475,0.039
0.3,1.664835508,0.039
0.3,1.675824542,0.04
0.3,1.686813576,0.04
0.3,1.69780261,0.04
0.3,1.708791644,0.04
0.3,1.719780678,0.04
0.3,1.730769712,0.04
0.3,1.741758746,0.04
0.3,1.75274778,0.04
0.3,1.763736814,0.044
0.3,1.774725847,0.045
0.3,1.785714881,0.046
0.3,1.796703915,0.048
0.3,1.807692949,0.052
0.3,1.818681983,0.052
0.3,1.829671017,0.049
0.3,1.840660051,0.043
0.3,1.851649085,0.035
0.3,1.862638119,0.029
0.3,1.873627153,0.026
0.3,1.884616186,0.025
0.3,1.89560522,0.025
0.3,1.906594254,0.024
0.3,1.917583288,0.024
0.3,1.928572322,0.027
0.3,1.939561356,0.029
0.3,1.95055039,0.033
0.3,1.961539424,0.036
0.3,1.972528458,0.039
0.3,1.983517492,0.04
0.3,1.994506525,0.039
0.3,2.005495559,0.039
0.3,2.016484593,0.043
0.3,2.027473627,0.044
0.3,2.038462661,0.044
0.3,2.049451695,0.043
0.3,2.060440729,0.04
0.3,2.071429763,0.036
0.3,2.082418797,0.035
0.3,2.093407831,0.032
0.3,2.104396864,0.029
0.3,2.115385898,0.029
0.3,2.126374932,0.029
0.3,2.137363966,0.029
0.3,2.148353,0.029
0.3,2.159342034,0.029
0.3,2.170331068,0.028
0.3,2.181320102,0.031
0.3,2.192309136,0.035
0.3,2.20329817,0.04
0.3,2.214287203,0.043
0.3,2.225276237,0.044
0.3,2.236265271,0.045
0.3,2.247254305,0.048
0.3,2.258243339,0.052
0.3,2.269232373,0.052
0.3,2.280221407,0.048
0.3,2.291210441,0.045
0.3,2.302199475,0.043
0.3,2.313188509,0.044
0.3,2.324177542,0.047
0.3,2.335166576,0.046
0.3,2.34615561,0.044
0.3,2.357144644,0.041
0.3,2.368133678,0.039
0.3,2.379122712,0.039
0.3,2.390111746,0.04
0.3,2.40110078,0.037
0.3,2.412089814,0.039
0.3,2.423078848,0.039
0.3,2.434067881,0.038
0.3,2.445056915,0.039
0.3,2.456045949,0.039
0.3,2.467034983,0.039
0.3,2.478024017,0.039
0.3,2.489013051,0.039
0.3,2.5,0.039
0.4,1.375000031,0.036
0.4,1.386160745,0.035
0.4,1.397321459,0.035
0.4,1.408482172,0.035
0.4,1.419642886,0.036
0.4,1.4308036,0.036
0.4,1.441964314,0.036
0.4,1.453125027,0.037
0.4,1.464285741,0.037
0.4,1.475446455,0.037
0.4,1.486607169,0.037
0.4,1.497767882,0.037
0.4,1.508928596,0.037
0.4,1.52008931,0.038
0.4,1.531250023,0.038
0.4,1.542410737,0.038
0.4,1.553571451,0.038
0.4,1.564732165,0.038
0.4,1.575892878,0.038
0.4,1.587053592,0.038
0.4,1.598214306,0.038
0.4,1.60937502,0.038
0.4,1.620535733,0.038
0.4,1.631696447,0.038
0.4,1.642857161,0.039
0.4,1.654017874,0.04
0.4,1.665178588,0.04
0.4,1.676339302,0.04
0.4,1.687500016,0.04
0.4,1.698660729,0.041
0.4,1.709821443,0.039
0.4,1.720982157,0.04
0.4,1.732142871,0.043
0.4,1.743303584,0.043
0.4,1.754464298,0.044
0.4,1.765625012,0.046
0.4,1.776785725,0.047
0.4,1.787946439,0.051
0.4,1.799107153,0.055
0.4,1.810267867,0.057
0.4,1.82142858,0.058
0.4,1.832589294,0.054
0.4,1.843750008,0.048
0.4,1.854910722,0.043
0.4,1.866071435,0.04
0.4,1.877232149,0.035
0.4,1.888392863,0.03
0.4,1.899553576,0.025
0.4,1.91071429,0.02
0.4,1.921875004,0.015
0.4,1.933035718,0.014
0.4,1.944196431,0.013
0.4,1.955357145,0.014
0.4,1.966517859,0.015
0.4,1.977678573,0.018
0.4,1.988839286,0.024
0.4,2,0.029
0.4,2.011160714,0.03
0.4,2.022321427,0.03
0.4,2.033482141,0.033
0.4,2.044642855,0.036
0.4,2.055803569,0.034
0.4,2.066964282,0.031
0.4,2.078124996,0.028
0.4,2.08928571,0.027
0.4,2.100446424,0.025
0.4,2.111607137,0.026
0.4,2.122767851,0.026
0.4,2.133928565,0.026
0.4,2.145089278,0.023
0.4,2.156249992,0.023
0.4,2.167410706,0.024
0.4,2.17857142,0.026
0.4,2.189732133,0.031
0.4,2.200892847,0.035
0.4,2.212053561,0.039
0.4,2.223214275,0.043
0.4,2.234374988,0.045
0.4,2.245535702,0.047
0.4,2.256696416,0.046
0.4,2.267857129,0.05
0.4,2.279017843,0.052
0.4,2.290178557,0.049
0.4,2.301339271,0.051
0.4,2.312499984,0.051
0.4,2.323660698,0.048
0.4,2.334821412,0.048
0.4,2.345982126,0.048
0.4,2.357142839,0.045
0.4,2.368303553,0.044
0.4,2.379464267,0.043
0.4,2.39062498,0.045
0.4,2.401785694,0.043
0.4,2.412946408,0.041
0.4,2.424107122,0.039
0.4,2.435267835,0.039
0.4,2.446428549,0.037
0.4,2.457589263,0.036
0.4,2.468749977,0.035
0.4,2.47991069,0.037
0.4,2.491071404,0.038
0.4,2.502232118,0.039
0.4,2.513392831,0.038
0.4,2.524553545,0.037
0.4,2.535714259,0.037
0.4,2.546874973,0.037
0.4,2.558035686,0.037
0.4,2.5691964,0.037
0.4,2.580357114,0.038
0.4,2.591517828,0.037
0.4,2.602678541,0.037
0.4,2.613839255,0.037
0.4,2.624999999,0.037
0.5,1.25,0.036
0.5,1.26102945,0.036
0.5,1.2720589,0.036
0.5,1.283088351,0.036
0.5,1.294117801,0.035
0.5,1.305147251,0.035
0.5,1.316176701,0.035
0.5,1.327206152,0.036
0.5,1.338235602,0.036
0.5,1.349265052,0.037
0.5,1.360294502,0.037
0.5,1.371323953,0.036
0.5,1.382353403,0.037
0.5,1.393382853,0.036
0.5,1.404412303,0.036
0.5,1.415441753,0.036
0.5,1.426471204,0.036
0.5,1.437500654,0.037
0.5,1.448530104,0.037
0.5,1.459559554,0.037
0.5,1.470589005,0.037
0.5,1.481618455,0.038
0.5,1.492647905,0.037
0.5,1.503677355,0.038
0.5,1.514706806,0.038
0.5,1.525736256,0.038
0.5,1.536765706,0.038
0.5,1.547795156,0.038
0.5,1.558824607,0.038
0.5,1.569854057,0.038
0.5,1.580883507,0.038
0.5,1.591912957,0.039
0.5,1.602942407,0.039
0.5,1.613971858,0.04
0.5,1.625001308,0.04
0.5,1.636030758,0.04
0.5,1.647060208,0.041
0.5,1.658089659,0.042
0.5,1.669119109,0.042
0.5,1.680148559,0.043
0.5,1.691178009,0.041
0.5,1.70220746,0.043
0.5,1.71323691,0.044
0.5,1.72426636,0.045
0.5,1.73529581,0.044
0.5,1.74632526,0.043
0.5,1.757354711,0.046
0.5,1.768384161,0.047
0.5,1.779413611,0.049
0.5,1.790443061,0.052
0.5,1.801472512,0.058
0.5,1.812501962,0.058
0.5,1.823531412,0.055
0.5,1.834560862,0.05
0.5,1.845590313,0.047
0.5,1.856619763,0.043
0.5,1.867649213,0.039
0.5,1.878678663,0.036
0.5,1.889708113,0.029
0.5,1.900737564,0.024
0.5,1.911767014,0.02
0.5,1.922796464,0.016
0.5,1.933825914,0.013
0.5,1.944855365,0.013
0.5,1.955884815,0.012
0.5,1.966914265,0.013
0.5,1.977943715,0.016
0.5,1.988973166,0.02
0.5,2.000002616,0.023
0.5,2.011032066,0.027
0.5,2.022061516,0.034
0.5,2.033090967,0.038
0.5,2.044120417,0.039
0.5,2.055149867,0.036
0.5,2.066179317,0.035
0.5,2.077208767,0.033
0.5,2.088238218,0.031
0.5,2.099267668,0.032
0.5,2.110297118,0.031
