x,y,dz
4575120,5302140,0.000000
4575140,5302150,-0.889000
4575100,5302170,-0.041000
4575150,5302160,0.329000
4575110,5302180,-0.864000
4575080,5302200,-0.232000
4575170,5302170,-0.089000
4575130,5302190,0.409000
4575090,5302210,-1.276000
4575060,5302240,-1.935000
4575040,5302260,-1.330000
4575180,5302190,-0.096000
4575150,5302200,0.113000
4575110,5302220,0.358000
4575070,5302240,-1.022000
4575050,5302270,-1.557000
4575010,5302290,-1.066000
4574990,5302320,-0.754000
4575160,5302220,0.195000
4575130,5302230,0.329000
4575090,5302250,0.479000
4575070,5302280,0.589000
4575030,5302300,-0.713000
4575010,5302330,-2.219000
4574970,5302350,0.455000
4575140,5302250,0.229000
4575100,5302260,0.250000
4575080,5302300,0.031000
4575050,5302310,0.416000
4574950,5302340,4.231000
4575020,5302340,0.435000
4574990,5302360,-2.472000
4574950,5302390,-0.074000
4575120,5302280,0.080000
4575100,5302310,0.003000
4575060,5302330,-0.249000
4574930,5302420,-0.605000
4574930,5302380,4.024000
4575040,5302360,-0.135000
4575000,5302370,0.089000
4574970,5302400,-2.851000
4574940,5302430,-2.932000
4575080,5302340,0.000000
4574910,5302460,-1.209000
4574910,5302410,3.611000
4574920,5302470,-3.353000
4575060,5302370,0.000000
4575020,5302390,-0.057000
4574980,5302410,-0.243000
4574960,5302440,-0.526000
4574890,5302490,0.411000
4574890,5302450,2.624000
4574940,5302480,-0.110000
4574900,5302500,-2.521000
4575040,5302400,0.000000
4575000,5302420,0.125000
4574980,5302450,0.644000
4574870,5302530,-0.689000
4574870,5302480,1.757000
4574880,5302540,-1.781000
4574950,5302490,0.951000
4574920,5302510,-0.498000
4575010,5302430,0.000000
4574990,5302460,-0.179000
4574840,5302560,-1.930000
4574850,5302520,-2.851000
4574860,5302570,-0.685000
4574900,5302550,0.845000
4574970,5302500,-1.088000
4574930,5302520,1.095000
4574820,5302590,-1.861000
4574830,5302550,-2.722000
4574830,5302600,0.450000
4574870,5302580,1.048000
4574910,5302550,1.289000
4574950,5302530,-1.403000
4574790,5302620,-1.047000
4574800,5302580,-1.495000
4574770,5302660,-0.676000
4574810,5302630,0.756000
4574780,5302660,0.830000
4574850,5302610,1.044000
4574890,5302590,1.298000
4574920,5302560,-1.931000
4574780,5302610,-1.231000
4574750,5302690,-0.524000
4574760,5302650,-1.510000
4574760,5302700,0.609000
4574740,5302720,0.548000
4574820,5302640,0.739000
4574800,5302670,0.497000
4574860,5302620,0.872000
4574900,5302600,-1.458000
4574720,5302750,0.425000
4574730,5302720,-0.330000
4574730,5302680,-1.751000
4574700,5302780,0.255000
4574770,5302700,0.370000
4574760,5302730,0.314000
4574840,5302650,0.736000
4574810,5302680,0.653000
4574880,5302630,-1.326000
4574740,5302760,0.281000
4574720,5302790,0.219000
4574710,5302740,-0.218000
4574710,5302710,-1.770000
4574680,5302810,0.069000
4574690,5302770,-0.140000
4574790,5302710,0.668000
4574770,5302740,0.623000
4574850,5302660,-1.491000
4574830,5302690,-1.479000
4574700,5302820,0.142000
4574750,5302770,0.527000
4574730,5302800,0.425000
4574690,5302740,-1.565000
4574670,5302840,0.019000
4574670,5302800,-0.103000
4574680,5302760,-1.190000
4574800,5302720,-1.588000
4574780,5302750,-1.949000
4574710,5302830,0.213000
4574680,5302850,0.155000
4574760,5302780,-2.107000
4574740,5302810,-2.166000
4574660,5302870,-0.033000
4574650,5302870,0.115000
4574650,5302830,-0.148000
4574660,5302790,-0.563000
4574640,5302910,-0.303000
4574730,5302830,-2.074000
4574690,5302850,-0.124000
4574670,5302880,-0.603000
4574620,5302940,-0.660000
4574630,5302900,-0.209000
4574630,5302860,-0.076000
4574640,5302820,0.203000
4574650,5302920,-0.911000
4574630,5302950,-1.054000
4574710,5302860,-1.956000
4574690,5302890,-1.726000
4574590,5302970,-0.863000
4574600,5302930,-0.420000
4574610,5302890,0.129000
4574620,5302850,1.050000
4574610,5302980,-1.136000
4574660,5302920,-0.936000
4574640,5302960,-0.308000
4574570,5303010,-1.056000
4574580,5302970,-0.353000
4574590,5302930,0.178000
4574600,5302880,1.401000
