x,y,dz
4575120,5302140,0.00000
4575140,5302150,-0.68800
4575100,5302170,0.19100
4575150,5302160,0.49600
4575110,5302180,-0.47300
4575080,5302200,-0.20900
4575170,5302170,-0.19300
4575130,5302190,0.13900
4575090,5302210,-0.85200
4575060,5302230,-1.12000
4575040,5302260,0.36300
4575180,5302190,-0.12100
4575150,5302200,0.07100
4575110,5302220,-0.05500
4575070,5302240,-0.88700
4575050,5302270,-1.31000
4575010,5302290,-0.19400
4574990,5302320,-0.40800
4575160,5302220,0.15800
4575120,5302230,0.25900
4575090,5302250,0.02100
4575070,5302280,-0.07000
4575030,5302300,-0.87400
4575010,5302330,-0.26400
4574970,5302350,0.06800
4575140,5302250,0.13300
4575100,5302260,0.17100
4575080,5302290,-0.02200
4575050,5302310,-0.46500
4574950,5302340,2.08000
4575020,5302340,-0.82800
4574990,5302360,-0.33900
4574950,5302390,0.53900
4575120,5302280,0.17900
4575100,5302310,0.03200
4575060,5302320,-0.09700
4574930,5302420,0.61600
4574930,5302380,0.49900
4575040,5302360,-0.06200
4575000,5302370,-0.71500
4574970,5302400,-1.34000
4574940,5302430,-0.21800
4575080,5302340,0.00000
4574910,5302460,0.57600
4574910,5302410,0.03200
4574920,5302470,-1.80000
4575060,5302370,0.00000
4575020,5302390,0.23900
4574980,5302410,-0.14300
4574960,5302440,-0.92700
4574890,5302490,-0.17000
4574890,5302450,-0.27300
4574940,5302480,-0.60200
4574900,5302500,-0.73500
4575040,5302400,0.00000
4575000,5302420,0.46700
4574980,5302450,0.88800
4574870,5302530,-1.08000
4574870,5302480,-0.85300
4574880,5302540,0.33300
4574950,5302490,1.41000
4574920,5302510,-0.53600
4575010,5302430,0.00600
4574990,5302460,-0.16000
4574840,5302560,-0.88700
4574850,5302520,-1.74000
4574860,5302570,0.57100
4574900,5302550,-0.52300
4574970,5302500,-0.87000
4574930,5302520,1.31000
4574820,5302590,-0.59700
4574830,5302550,-2.26000
4574830,5302600,0.60900
4574870,5302580,-0.45200
4574910,5302550,1.54000
4574950,5302530,-0.97800
4574790,5302620,-0.45600
4574800,5302580,-2.23000
4574770,5302660,-0.21400
4574810,5302630,0.71600
4574780,5302660,0.70800
4574850,5302610,-0.74600
4574890,5302590,1.41000
4574920,5302560,-1.07000
4574780,5302610,-1.94000
4574750,5302690,-0.02400
4574760,5302650,-1.24000
4574760,5302700,0.69600
4574740,5302720,0.39700
4574820,5302640,-0.39700
4574800,5302670,-0.32200
4574860,5302620,1.33000
4574900,5302600,-0.63900
4574720,5302750,0.85600
4574730,5302720,0.20500
4574730,5302680,-0.19300
4574700,5302780,1.10000
4574770,5302700,-0.01300
4574750,5302730,0.13400
4574840,5302650,1.46000
4574810,5302680,1.29000
4574880,5302630,-1.04000
4574740,5302760,0.33200
4574720,5302790,0.45300
4574710,5302740,0.23700
4574710,5302710,0.65300
4574680,5302810,1.13000
4574690,5302770,0.21700
4574790,5302710,0.91200
4574770,5302740,0.21400
4574850,5302660,-1.82000
4574830,5302690,-2.18000
4574700,5302820,0.50200
4574750,5302770,-0.32300
4574730,5302800,-0.86400
4574690,5302740,0.86100
4574670,5302840,1.09000
4574670,5302800,0.20300
4574680,5302760,0.74500
4574800,5302720,-2.76000
4574780,5302750,-2.95000
4574710,5302830,-1.12000
4574680,5302850,0.43400
4574760,5302780,-2.92000
4574740,5302810,-2.56000
4574660,5302870,0.31500
4574650,5302870,0.81100
4574650,5302830,0.11600
4574660,5302790,0.67800
4574640,5302910,0.20800
4574720,5302830,-2.13000
4574690,5302850,-1.27000
4574670,5302880,-1.16000
4574620,5302940,0.19800
4574630,5302900,0.54700
4574630,5302860,0.13600
4574640,5302820,0.82500
4574650,5302920,-0.89500
4574630,5302950,-0.62300
4574710,5302860,-1.57000
4574690,5302890,-0.89100
4574590,5302970,0.05700
4574600,5302930,0.30300
4574610,5302890,0.11200
4574620,5302850,0.90800
4574610,5302980,-0.46700
4574660,5302920,-0.46700
4574640,5302960,-0.33000
4574570,5303010,-0.30200
4574580,5302970,0.03600
4574590,5302930,-0.08100
4574600,5302880,0.69000
4574620,5302990,-0.16100
4574580,5303010,-0.26400
4574560,5303050,0.02000
4574550,5303040,-0.75000
4574560,5303000,-0.26400
4574570,5302960,-0.21800
4574580,5302920,0.47500
4574540,5303080,0.19400
4574590,5303020,0.03100
4574570,5303050,0.23900
4574520,5303100,0.28300
4574530,5303070,-0.99800
4574540,5303030,-0.53000
4574550,5302990,-0.26900
4574560,5302950,0.30900
4574550,5303080,0.31300
4574530,5303110,0.25400
4574500,5303130,0.26100
4574510,5303100,-0.95800
4574520,5303060,-0.55900
4574530,5303030,-0.25900
4574540,5302990,0.24200
4574510,5303140,0.10700
4574480,5303160,0.13900
4574490,5303120,-0.62000
4574500,5303090,-0.49900
4574510,5303060,-0.16000
4574520,5303020,0.08800
4574500,5303170,-0.06500
4574480,5303190,-0.17100
4574470,5303190,0.02600
4574470,5303150,-0.22600
4574480,5303120,-0.46400
4574490,5303080,-0.16500
4574500,5303050,0.05200
4574460,5303220,-0.20000
4574450,5303220,-0.13500
4574450,5303180,0.04600
4574460,5303150,-0.35700
4574470,5303110,-0.20100
4574480,5303080,0.00400
4574440,5303260,-0.05300
4574420,5303290,0.06600
4574430,5303250,-0.22400
4574400,5303280,-0.20400
4574440,5303210,0.19200
4574440,5303170,-0.23400
4574450,5303140,-0.18800
4574460,5303100,0.02400
4574390,5303320,0.15800
4574370,5303360,0.18200
4574380,5303320,-0.14100
4574410,5303240,0.30500
4574390,5303280,0.35200
4574420,5303200,-0.01000
4574430,5303170,-0.18700
4574440,5303130,0.04500
4574350,5303390,0.14000
4574360,5303350,-0.07100
4574370,5303310,0.35600
4574400,5303240,0.09400
4574380,5303270,0.11800
4574410,5303190,-0.18000
4574420,5303160,0.05200
4574330,5303420,0.11500
4574340,5303380,0.00400
4574350,5303340,0.19300
4574320,5303450,0.17500
4574320,5303410,0.02700
4574360,5303300,0.09000
4574390,5303230,-0.15200
4574370,5303260,-0.13000
4574400,5303190,0.12800
4574300,5303480,0.25300
4574330,5303380,0.05400
4574340,5303340,0.10000
4574310,5303440,0.03600
4574310,5303410,0.04800
4574350,5303300,-0.06600
4574380,5303220,0.22600
4574360,5303260,0.30000
4574280,5303510,0.34000
4574290,5303470,0.05100
4574270,5303540,0.50900
4574270,5303500,0.10300
4574320,5303370,0.15900
4574330,5303330,0.12400
4574290,5303440,0.06300
4574300,5303400,0.26700
4574340,5303290,0.22300
4574250,5303560,0.61200
4574280,5303460,0.07500
4574260,5303530,0.17900
4574260,5303490,0.11600
4574310,5303360,0.23300
4574320,5303320,-0.01500
4574280,5303430,0.29800
4574290,5303390,0.18300
4574230,5303590,0.71200
4574240,5303560,0.26800
4574270,5303460,0.29100
4574240,5303520,0.09400
4574250,5303490,0.24100
4574300,5303360,-0.33200
4574270,5303420,0.07600
4574280,5303390,-0.65400
4574220,5303620,0.69500
4574220,5303590,0.35100
4574230,5303550,0.11000
4574250,5303450,-0.08500
4574230,5303510,0.12500
4574240,5303480,-0.20700
4574260,5303410,-0.88300
4574200,5303650,0.59800
4574200,5303610,0.45100
4574210,5303580,0.10400
4574210,5303540,-0.02900
4574240,5303440,-1.07000
4574220,5303510,-0.32600
4574220,5303470,-1.26000
4574180,5303680,0.51600
4574190,5303640,0.52700
4574190,5303610,0.13300
4574200,5303570,-0.15900
4574200,5303530,-0.37800
4574160,5303710,0.21400
4574200,5303500,-1.43000
4574170,5303670,0.53700
4574170,5303640,0.14500
4574180,5303600,-0.30400
4574180,5303560,-0.47200
4574190,5303530,-1.57000
4574150,5303740,-0.09900
4574150,5303700,0.51600
4574160,5303670,0.16500
4574160,5303630,-0.43600
4574160,5303590,-0.57700
4574170,5303560,-1.65000
4574130,5303770,-0.36700
4574130,5303730,0.47500
4574110,5303790,-0.64100
4574140,5303690,0.15100
4574090,5303820,-0.81100
4574140,5303660,-0.50200
4574150,5303620,-0.67000
4574150,5303580,-1.63000
4574120,5303760,0.32200
4574120,5303720,0.16200
4574100,5303790,0.13100
4574130,5303690,-0.52100
4574080,5303850,-0.99500
4574080,5303820,-0.17400
4574130,5303650,-0.74700
4574130,5303610,-1.38000
4574100,5303750,0.17100
4574110,5303710,-0.51700
4574090,5303780,0.11800
4574110,5303680,-0.73000
4574060,5303880,-1.19000
4574060,5303840,-0.45300
4574070,5303810,0.03600
4574120,5303640,-1.16000
4574090,5303740,-0.40700
4574090,5303710,-0.61300
4574070,5303770,-0.32400
4574100,5303670,-0.81000
4574040,5303910,-1.26000
4574020,5303940,-1.34000
4574050,5303870,-0.72900
4574050,5303840,-0.12400
4574060,5303800,-0.19400
4574080,5303740,-0.44300
4574080,5303700,-0.53500
4574060,5303770,-0.19900
4574030,5303900,-0.98100
4574010,5303960,-1.36000
4574010,5303930,-1.18000
4574040,5303870,-0.21300
4574040,5303830,-0.14000
4574050,5303790,0.05000
4574070,5303730,-0.36700
4574050,5303760,-0.11600
4574020,5303890,-0.37200
4573990,5303990,-1.18000
4573990,5303960,-1.14000
4574000,5303920,-0.38700
4574030,5303860,-0.06800
4574030,5303820,0.26000
4574040,5303790,0.10900
4574010,5303890,-0.06500
4573970,5304020,-0.80700
4573980,5303990,-1.13000
4573980,5303950,-0.36200
4573990,5303920,-0.05700
4574020,5303850,0.44800
4574020,5303820,0.50200
4574000,5303880,0.58600
4573950,5304050,-0.47300
4573960,5304010,-0.95000
4573960,5303980,-0.43700
4573970,5303940,0.05400
4573980,5303910,0.81000
4574000,5303850,0.72500
4573990,5303880,1.21000
4573930,5304080,0.00600
4573940,5304040,-0.67500
4573950,5304010,-0.56800
4573950,5303970,0.10100
4573960,5303940,0.97500
4573970,5303900,1.19000
4573920,5304110,0.57600
4573920,5304070,-0.37300
4573930,5304040,-0.48600
4573930,5304000,0.17900
4573940,5303960,1.04000
4573950,5303930,1.07000
4573900,5304150,0.86400
4573880,5304180,0.66000
4573900,5304110,0.07500
4573910,5304060,-0.44300
4573910,5304030,0.28700
4573920,5303990,0.98900
4573930,5303960,0.86300
4573890,5304140,0.61800
4573860,5304220,0.12200
4573870,5304180,1.07000
4573890,5304100,-0.29300
4573890,5304060,0.28700
4573900,5304020,0.72500
4573910,5303980,0.67100
4573870,5304130,-0.01200
4573840,5304250,-0.20700
4573850,5304210,1.22000
4573850,5304170,0.44200
4573890,5304010,0.01600
4573880,5304090,0.18100
4573880,5304050,0.55900
4573860,5304130,0.00900
4573830,5304280,-0.20300
4573830,5304240,1.11000
4573840,5304200,0.88100
4573840,5304160,-0.09700
4573870,5304040,-0.57600
4573860,5304080,0.19200
4573850,5304120,-0.16900
4573810,5304310,-0.02600
4573810,5304270,0.94400
4573820,5304240,1.01000
4573820,5304200,-0.11300
4573830,5304150,-0.64500
4573850,5304070,-0.81600
4573830,5304110,-1.01000
4573790,5304340,0.29700
4573800,5304300,0.75100
4573800,5304270,0.89200
4573800,5304230,-0.18800
4573810,5304190,-0.87400
4573810,5304150,-1.25000
4573780,5304370,0.54600
4573780,5304330,0.66800
4573780,5304300,0.69700
4573790,5304260,-0.26500
4573790,5304220,-1.09000
4573800,5304180,-1.29000
4573760,5304400,0.68200
4573760,5304360,0.57500
4573770,5304320,0.51700
4573770,5304290,-0.32200
4573770,5304250,-1.29000
4573780,5304220,-1.04000
4573740,5304420,0.75000
4573750,5304390,0.55500
4573750,5304350,0.30700
4573750,5304320,-0.33400
4573760,5304280,-1.27000
4573760,5304250,-0.63700
4573730,5304450,0.57200
4573730,5304420,0.46900
4573730,5304380,0.12500
4573740,5304350,-0.26500
4573740,5304310,-1.11000
4573740,5304270,-0.30800
4573710,5304480,0.24400
4573710,5304450,0.45700
4573710,5304410,-0.03900
4573720,5304370,-0.22000
4573720,5304340,-0.81500
4573730,5304300,-0.26000
4573700,5304510,-0.07900
4573700,5304480,0.40400
4573700,5304440,0.01400
4573700,5304400,-0.02900
4573700,5304370,-0.51900
4573710,5304330,-0.33400
4573680,5304470,0.13900
4573680,5304540,-0.44300
4573680,5304510,0.30100
4573690,5304430,0.08600
4573690,5304400,-0.34200
4573690,5304360,-0.55800
4573670,5304460,0.23900
4573670,5304500,0.27900
