x,y,dz
4575120,5302140,-0.000056
4575140,5302150,-0.732100
4575100,5302170,0.088080
4575150,5302160,0.343068
4575110,5302180,-0.695252
4575080,5302200,0.041544
4575170,5302170,-0.140858
4575130,5302190,0.247811
4575090,5302210,-1.235950
4575060,5302240,-0.278947
4575040,5302260,-0.973637
4575180,5302190,-0.086103
4575150,5302200,0.127541
4575110,5302220,0.268877
4575070,5302240,-0.982621
4575050,5302270,-1.658520
4575010,5302290,-0.478331
4574990,5302320,0.044471
4575160,5302220,0.187453
4575130,5302230,0.310698
4575090,5302250,0.304786
4575070,5302280,0.242119
4575030,5302300,-1.300130
4575010,5302330,-1.962510
4574970,5302350,0.097447
4575140,5302250,0.228679
4575100,5302260,0.183138
4575080,5302300,-0.033408
4575050,5302310,0.108078
4574950,5302340,2.320540
4575020,5302340,-0.281130
4574990,5302360,-1.768130
4574950,5302390,0.315111
4575120,5302280,0.099738
4575100,5302310,0.002459
4575060,5302330,-0.188204
4574930,5302420,0.239929
4574930,5302380,2.420430
4575040,5302360,-0.124370
4575000,5302370,-0.359465
4574970,5302400,-2.088500
4574940,5302430,-2.014180
4575080,5302340,0.000584
4574910,5302460,-0.525370
4574910,5302410,1.804910
4574920,5302470,-1.509290
4575060,5302370,0.000111
4575020,5302390,-0.019527
4574980,5302410,-0.358583
4574960,5302440,-0.482780
4574890,5302490,-0.944272
4574890,5302450,0.389618
4574940,5302480,-0.159129
4574900,5302500,-1.029600
4575040,5302400,-0.000014
4575000,5302420,0.153204
4574980,5302450,0.544765
4574870,5302530,-0.816945
4574870,5302480,0.088132
4574880,5302540,-0.371829
4574950,5302490,0.844020
4574920,5302510,0.026677
4575010,5302430,0.000220
4574990,5302460,-0.173499
4574840,5302560,-0.804845
4574850,5302520,-0.545630
4574860,5302570,-0.011148
4574900,5302550,0.133070
4574970,5302500,-1.080260
4574930,5302520,0.902466
4574820,5302590,-1.131330
4574830,5302550,-1.453030
4574830,5302600,0.348331
4574870,5302580,0.128087
4574910,5302550,1.021960
