x,y,dz
4575100,5302100,-0.29400
4575100,5302200,0.65300
4575100,5302200,-2.13200
4575200,5302200,-1.37100
4575100,5302200,-0.34000
4575100,5302200,-1.77300
4575200,5302200,-0.91600
4575100,5302200,-0.76600
4575100,5302200,-0.27100
4575100,5302200,-1.03900
4575000,5302300,-0.50800
4575200,5302200,-1.07100
4575200,5302200,-0.69600
4575100,5302200,-0.42800
4575100,5302200,-0.10600
4575100,5302300,-0.11900
4575000,5302300,-0.29300
4575000,5302300,-0.27300
4575200,5302200,-1.36200
4575100,5302200,-0.69500
4575100,5302300,-0.21000
4575100,5302300,-0.26700
4575000,5302300,-0.19700
4575000,5302300,-0.54800
4575000,5302400,-0.59900
4575100,5302300,-0.92500
4575100,5302300,-0.76400
4575100,5302300,-0.28300
4575100,5302300,-0.24700
4575000,5302300,-0.52000
4575000,5302300,-0.35000
4575000,5302400,-1.18300
4575000,5302400,-1.03100
4575100,5302300,-1.37700
4575100,5302300,-2.55100
4575100,5302300,-0.62200
4574900,5302400,-1.19200
4574900,5302400,0.63000
4575000,5302400,-0.34600
4575000,5302400,-0.42100
4575000,5302400,-1.20000
4574900,5302400,-0.85800
4575100,5302300,-1.85500
4574900,5302500,-1.08200
4574900,5302400,-0.07000
4574900,5302500,-0.52800
4575100,5302400,0.37300
4575000,5302400,0.38000
4575000,5302400,-0.64200
4575000,5302400,-0.48400
4574900,5302500,-0.94700
4574900,5302500,-0.68600
4574900,5302500,-0.27600
4574900,5302500,-0.23000
4575000,5302400,0.32800
4575000,5302400,0.13800
4575000,5302500,0.20000
4574900,5302500,-0.84000
4574900,5302500,-1.04800
4574900,5302500,0.10800
4575000,5302500,0.24000
4574900,5302500,-0.08100
4575000,5302400,0.33500
4575000,5302500,0.69100
4574800,5302600,-1.04100
4574900,5302500,-1.48400
4574900,5302600,-0.36700
4574900,5302600,0.03700
4575000,5302500,0.99000
4574900,5302500,0.32600
4574800,5302600,-0.73700
4574800,5302600,-1.04200
4574800,5302600,-0.57200
4574900,5302600,-0.74300
4574900,5302600,0.41300
4575000,5302500,0.71400
4574800,5302600,-0.25400
4574800,5302600,-0.24200
4574800,5302700,0.12900
4574800,5302600,-0.54700
4574800,5302700,-0.31500
4574900,5302600,-0.63600
4574900,5302600,-0.34500
4574900,5302600,0.33300
4574800,5302600,0.57600
4574800,5302700,0.46100
4574800,5302700,0.52300
4574800,5302700,0.16900
4574700,5302700,0.42100
4574800,5302600,-0.69500
4574800,5302700,-0.90300
4574900,5302600,-0.58200
4574900,5302600,-0.24200
4574700,5302800,0.27400
4574700,5302700,0.30200
4574700,5302700,0.55800
4574700,5302800,-0.02700
