X,Y,Zexp
0,1.875,0.0160
0,1.886904,0.0170
0,1.898808,0.0170
0,1.910712,0.0160
0,1.922616,0.0160
0,1.93452,0.0170
0,1.946424,0.0190
0,1.958328,0.0220
0,1.970232,0.0230
0,1.982136,0.0250
0,1.99404,0.0260
0,2.005944,0.0280
0,2.017848,0.0310
0,2.029752,0.0340
0,2.041656,0.0340
0,2.05356,0.0340
0,2.065464,0.0340
0,2.077368,0.0320
0,2.089272,0.0310
0,2.101176,0.0270
0,2.11308,0.0200
0,2.125,0.0180
0.1,1.812513065,0.0110
0.1,1.826935142,0.0110
0.1,1.841357219,0.0110
0.1,1.855779296,0.0100
0.1,1.870201374,0.0110
0.1,1.884623451,0.0100
0.1,1.899045528,0.0110
0.1,1.913467605,0.0100
0.1,1.927889682,0.0090
0.1,1.94231176,0.0100
0.1,1.956733837,0.0100
0.1,1.971155914,0.0090
0.1,1.985577991,0.0090
0.1,2.000000068,0.0100
0.1,2.014422145,0.0100
0.1,2.028844223,0.0100
0.1,2.0432663,0.0100
0.1,2.057688377,0.0090
0.1,2.072110454,0.0100
0.1,2.086532531,0.0120
0.1,2.100954609,0.0150
0.1,2.115376686,0.0120
0.1,2.129798763,0.0100
0.1,2.14422084,0.0100
0.1,2.158642917,0.0100
0.1,2.173064995,0.0130
0.1,2.187486935,0.0210
0.2,1.75002613,0.0360
0.2,1.763913574,0.0350
0.2,1.777801018,0.0350
0.2,1.791688463,0.0360
0.2,1.805575907,0.0350
0.2,1.819463352,0.0350
0.2,1.833350796,0.0340
0.2,1.84723824,0.0310
0.2,1.861125685,0.0320
0.2,1.875013129,0.0340
0.2,1.888900573,0.0330
0.2,1.902788018,0.0260
0.2,1.916675462,0.0200
0.2,1.930562907,0.0160
0.2,1.944450351,0.0150
0.2,1.958337795,0.0160
0.2,1.97222524,0.0170
0.2,1.986112684,0.0180
0.2,2.000000128,0.0200
0.2,2.013887573,0.0190
0.2,2.027775017,0.0190
0.2,2.041662462,0.0170
0.2,2.055549906,0.0170
0.2,2.06943735,0.0180
0.2,2.083324795,0.0210
0.2,2.097212239,0.0190
0.2,2.111099684,0.0160
0.2,2.124987128,0.0170
0.2,2.138874572,0.0200
0.2,2.152762017,0.0240
0.2,2.166649461,0.0270
0.2,2.180536905,0.0380
0.2,2.19442435,0.0420
0.2,2.208311794,0.0420
0.2,2.222199239,0.0450
0.2,2.236086683,0.0450
0.2,2.24997387,0.0450
0.3,1.687539194,0.0510
0.3,1.702411035,0.0520
0.3,1.717282876,0.0520
0.3,1.732154716,0.0510
0.3,1.747026557,0.0510
0.3,1.761898397,0.0520
0.3,1.776770238,0.0500
0.3,1.791642078,0.0450
0.3,1.806513919,0.0430
0.3,1.82138576,0.0410
0.3,1.8362576,0.0380
0.3,1.851129441,0.0370
0.3,1.866001281,0.0320
0.3,1.880873122,0.0250
0.3,1.895744962,0.0220
0.3,1.910616803,0.0200
0.3,1.925488644,0.0170
0.3,1.940360484,0.0150
0.3,1.955232325,0.0110
0.3,1.970104165,0.0090
0.3,1.984976006,0.0100
0.3,1.999847846,0.0100
0.3,2.014719687,0.0080
0.3,2.029591528,0.0100
0.3,2.044463368,0.0100
0.3,2.059335209,0.0100
0.3,2.074207049,0.0100
0.3,2.08907889,0.0140
0.3,2.10395073,0.0160
0.3,2.118822571,0.0180
0.3,2.133694412,0.0210
0.3,2.148566252,0.0230
0.3,2.163438093,0.0240
0.3,2.178309933,0.0280
0.3,2.193181774,0.0300
0.3,2.208053614,0.0260
0.3,2.222925455,0.0260
0.3,2.237797296,0.0310
0.3,2.252669136,0.0420
0.3,2.267540977,0.0500
0.3,2.282412817,0.0530
0.3,2.297284658,0.0530
0.3,2.312460806,0.0530
0.4,1.625052259,0.0610
0.4,1.639756092,0.0600
0.4,1.654459925,0.0610
0.4,1.669163758,0.0610
0.4,1.683867591,0.0600
0.4,1.698571424,0.0600
0.4,1.713275257,0.0610
0.4,1.72797909,0.0600
0.4,1.742682923,0.0570
0.4,1.757386756,0.0540
0.4,1.772090589,0.0500
0.4,1.786794422,0.0500
0.4,1.801498255,0.0520
0.4,1.816202088,0.0450
0.4,1.830905921,0.0330
0.4,1.845609754,0.0270
0.4,1.860313587,0.0210
0.4,1.87501742,0.0406
0.4,1.889721253,0.0379
0.4,1.904425086,0.0340
0.4,1.919128919,0.0250
0.4,1.933832752,0.0260
0.4,1.948536585,0.0260
0.4,1.963240418,0.0260
0.4,1.977944251,0.0260
0.4,1.992648084,0.0280
0.4,2.007351916,0.0320
0.4,2.022055749,0.0340
0.4,2.036759582,0.0340
0.4,2.051463415,0.0320
0.4,2.066167248,0.0300
0.4,2.080871081,0.0310
0.4,2.095574914,0.0310
0.4,2.110278747,0.0300
0.4,2.12498258,0.0280
0.4,2.139686413,0.0240
0.4,2.154390246,0.0210
0.4,2.169094079,0.0230
0.4,2.183797912,0.0290
0.4,2.198501745,0.0340
0.4,2.213205578,0.0370
0.4,2.227909411,0.0380
0.4,2.242613244,0.0390
0.4,2.257317077,0.0430
0.4,2.27202091,0.0520
0.4,2.286724743,0.0570
0.4,2.301428576,0.0590
0.4,2.316132409,0.0657
0.4,2.330836242,0.0657
0.4,2.345540075,0.0730
0.4,2.360243908,0.0620
0.4,2.374947741,0.0610
0.5,1.562565324,0.0620
0.5,1.57714648,0.0620
0.5,1.591727636,0.0610
0.5,1.606308792,0.0620
0.5,1.620889948,0.0620
0.5,1.635471103,0.0610
0.5,1.650052259,0.0630
0.5,1.664633415,0.0630
0.5,1.679214571,0.0630
0.5,1.693795727,0.0662
0.5,1.708376883,0.0700
0.5,1.722958039,0.0630
0.5,1.737539194,0.0680
0.5,1.75212035,0.0670
0.5,1.766701506,0.0620
0.5,1.781282662,0.0600
0.5,1.795863818,0.0450
0.5,1.810444974,0.0370
0.5,1.82502613,0.0320
0.5,1.839607285,0.0270
0.5,1.854188441,0.0270
0.5,1.868769597,0.0280
0.5,1.883350753,0.0340
0.5,1.897931909,0.0350
0.5,1.912513065,0.0310
0.5,1.927094221,0.0310
0.5,1.941675377,0.0330
0.5,1.956256532,0.0320
0.5,1.970837688,0.0300
0.5,1.985418844,0.0270
0.5,2,0.0220
0.5,2.014581156,0.0240
0.5,2.029162312,0.0220
0.5,2.043743468,0.0210
0.5,2.058324623,0.0220
0.5,2.072905779,0.0240
0.5,2.087486935,0.0280
0.5,2.102068091,0.0310
0.5,2.116649247,0.0350
0.5,2.131230403,0.0370
0.5,2.145811559,0.0380
0.5,2.160392715,0.0410
0.5,2.17497387,0.0440
0.5,2.189555026,0.0440
0.5,2.204136182,0.0410
0.5,2.218717338,0.0380
0.5,2.233298494,0.0370
0.5,2.24787965,0.0400
0.5,2.262460806,0.0380
0.5,2.277041961,0.0380
0.5,2.291623117,0.0410
0.5,2.306204273,0.0450
0.5,2.320785429,0.0500
0.5,2.335366585,0.0540
