Easting [m,Northig [m,Hydro_FT-2D_MAP 2010 [m]
4575121.46,5302141.06,0.00
4575135.20,5302148.75,-0.59
4575096.80,5302168.79,-0.75
4575150.88,5302161.18,-2.91
4575114.00,5302179.42,-0.80
4575077.60,5302201.59,1.54
4575166.74,5302173.75,-0.32
4575129.74,5302191.62,-2.77
4575092.80,5302210.08,-0.84
4575059.45,5302234.87,2.11
4575038.00,5302257.60,1.84
4575182.59,5302186.31,0.19
4575145.70,5302203.97,1.01
4575108.61,5302222.05,-2.68
4575071.60,5302240.75,-0.76
4575051.08,5302271.93,0.25
4575013.43,5302294.24,1.56
4574987.02,5302321.68,1.62
4575161.65,5302216.31,0.29
4575124.66,5302234.18,1.55
4575087.48,5302252.48,-2.71
4575066.35,5302282.91,-2.64
4575028.81,5302302.35,0.59
4575005.64,5302332.46,2.02
4574970.17,5302352.30,1.08
4575140.70,5302246.30,0.12
4575103.63,5302264.40,1.66
4575082.59,5302294.62,1.56
4575045.21,5302313.35,-2.52
4574953.87,5302341.39,-2.47
4575024.37,5302344.14,-2.28
4574987.05,5302363.68,1.88
4574949.41,5302387.16,1.18
4575119.76,5302276.30,0.02
4575098.81,5302306.30,0.02
4575061.55,5302324.83,1.34
4574928.65,5302422.01,1.26
4574933.47,5302376.57,-2.04
4575040.51,5302355.05,0.94
4575002.95,5302374.21,-2.07
4574965.78,5302398.05,2.02
4574944.43,5302432.40,1.95
4575077.86,5302336.30,0.00
4574907.89,5302456.87,1.43
4574913.08,5302411.75,-1.15
4574923.24,5302466.90,2.53
4575056.92,5302366.30,0.00
4575019.47,5302385.27,0.36
4574981.43,5302408.41,-2.17
4574959.91,5302442.60,-1.96
4574887.12,5302491.73,-0.05
4574892.68,5302446.93,-0.56
4574938.40,5302476.80,-1.96
4574902.05,5302501.39,1.55
4575035.97,5302396.30,0.00
4574997.54,5302419.11,-0.34
4574975.61,5302452.95,-1.23
4574866.36,5302526.58,1.10
4574872.29,5302482.11,0.71
4574880.86,5302535.88,0.76
4574953.68,5302486.78,-1.93
4574916.88,5302510.99,-1.86
4575013.61,5302429.78,0.00
4574991.26,5302463.25,-0.14
4574842.10,5302558.77,2.36
4574851.89,5302517.29,4.92
4574856.56,5302567.89,0.16
4574895.37,5302545.19,-3.45
4574968.90,5302496.73,-0.84
4574931.75,5302520.62,-2.67
4574817.84,5302590.96,2.04
4574827.71,5302549.68,3.89
4574832.27,5302599.91,-0.20
4574871.04,5302577.02,-3.37
4574909.82,5302554.46,-3.08
4574946.55,5302530.20,-0.63
4574793.58,5302623.15,1.21
4574803.53,5302582.07,1.99
4574769.32,5302655.33,0.95
4574807.98,5302631.92,-0.18
4574783.69,5302663.94,-0.21
4574846.71,5302608.86,-3.16
4574885.45,5302586.13,-2.53
4574924.19,5302563.68,-0.61
4574779.35,5302614.47,1.24
4574745.06,5302687.52,1.04
4574755.17,5302646.86,1.14
4574759.39,5302695.95,-0.26
4574740.66,5302724.27,-0.48
4574822.38,5302640.70,-2.54
4574798.05,5302672.54,-2.04
4574861.09,5302617.79,-1.81
4574899.80,5302595.18,-0.28
4574721.93,5302752.59,-0.58
4574726.56,5302715.85,0.98
4574730.99,5302679.25,1.19
4574703.20,5302780.92,-0.45
4574773.72,5302704.38,-1.52
4574754.77,5302732.69,-1.37
4574836.73,5302649.45,-1.15
4574812.37,5302681.12,-0.62
4574875.42,5302626.67,0.20
4574735.82,5302761.01,-1.26
4574716.87,5302789.33,-1.03
4574708.06,5302744.19,0.92
4574712.67,5302707.56,1.38
4574684.47,5302809.24,-0.35
4574689.55,5302772.52,0.70
4574788.00,5302712.78,-0.18
4574768.84,5302741.10,-0.44
4574851.03,5302658.17,0.70
4574826.65,5302689.66,0.76
4574697.92,5302817.65,-0.77
4574749.68,5302769.42,-0.55
4574730.52,5302797.74,-0.57
4574694.35,5302735.88,1.49
4574665.73,5302837.56,-0.29
4574671.05,5302800.85,0.45
4574676.03,5302764.19,1.44
4574802.26,5302721.16,0.94
4574782.88,5302749.48,0.74
4574711.36,5302826.06,-0.54
4574678.97,5302845.97,-0.50
4574763.50,5302777.79,0.58
4574744.11,5302806.10,0.58
4574660.02,5302874.29,-0.20
4574647.00,5302865.88,-0.26
4574652.55,5302829.18,0.33
4574657.71,5302792.50,1.20
4574638.07,5302907.59,0.22
4574724.73,5302834.42,0.50
4574692.20,5302854.38,-0.48
4574673.04,5302882.70,-0.34
4574616.12,5302940.89,0.51
4574625.59,5302899.61,-0.10
4574634.05,5302857.51,0.19
4574639.39,5302820.82,0.73
4574650.56,5302915.56,0.06
4574628.08,5302948.43,0.50
4574705.35,5302862.74,0.39
4574685.97,5302891.05,0.25
4574594.18,5302974.19,0.74
4574604.18,5302933.35,-0.06
4574613.15,5302891.67,-0.01
4574621.07,5302849.13,0.15
4574605.60,5302981.30,0.90
4574662.98,5302923.50,0.52
4574639.99,5302955.95,0.79
4574572.23,5303007.49,0.96
4574582.77,5302967.08,-0.09
4574592.24,5302925.82,-0.19
4574600.68,5302883.70,-0.39
4574617.01,5302988.40,1.10
4574583.11,5303014.17,1.21
4574560.63,5303047.04,1.47
4574550.28,5303040.79,1.15
4574561.35,5303000.82,-0.05
4574571.34,5302959.98,-0.23
4574580.29,5302918.28,-0.48
4574541.68,5303075.10,1.23
4574594.02,5303020.85,1.37
4574571.03,5303053.30,1.54
4574522.72,5303103.16,0.99
4574531.19,5303068.73,0.93
4574539.94,5303034.55,0.05
4574550.44,5302994.13,-0.15
4574559.90,5302952.85,-0.41
4574552.20,5303081.49,1.24
4574533.37,5303109.67,0.95
4574503.77,5303131.22,0.72
4574512.11,5303096.66,0.73
4574520.72,5303062.36,-0.01
4574529.53,5303028.29,-0.10
4574539.51,5302987.43,-0.34
4574514.54,5303137.85,0.70
4574484.81,5303159.28,0.49
4574493.02,5303124.60,0.53
4574501.49,5303090.17,-0.05
4574510.19,5303055.98,-0.36
4574519.12,5303022.00,-0.41
4574495.72,5303166.04,0.53
4574476.89,5303194.22,0.36
4574465.86,5303187.34,0.27
4574473.93,5303152.54,0.29
4574482.27,5303117.99,-0.04
4574490.84,5303083.66,-0.52
